,MDGL,MDGL,MDGL,MDGL,MDGL,NVO,NVO,NVO,NVO,NVO
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2023-08-25,177.6199951171875,181.2100067138672,175.39999389648438,179.32000732421875,189400,89.90768088161953,91.07095124222893,89.73245989970754,90.73997497558594,2702400
2023-08-28,179.60000610351562,180.8699951171875,177.5800018310547,180.8300018310547,149800,90.57448694804148,91.74262925653393,90.43334022534412,91.25590515136719,2228600
2023-08-29,180.83999633789062,182.50999450683594,178.22999572753906,179.49000549316406,124400,91.20723325802874,92.9059031236758,91.20723325802874,92.65766906738281,3112800
2023-08-30,179.75,181.8000030517578,177.3000030517578,178.08999633789062,142200,91.99085787055562,92.32182670436944,91.46033036686079,91.5382080078125,2814800
2023-08-31,178.8000030517578,181.2899932861328,176.32000732421875,180.0,181500,91.05634647443928,91.08068416505867,89.96608180534659,90.3457260131836,3826400
2023-09-01,181.25,185.52999877929688,179.10000610351562,185.13999938964844,134100,91.46033569006056,92.83289391432243,91.18289936308042,92.1417465209961,2786600
2023-09-05,184.50999450683594,189.61000061035156,184.27999877929688,184.5,302000,93.51916964358638,93.67005292850007,92.48731691308973,92.53112030029297,3230000
2023-09-06,184.5,187.6699981689453,182.85000610351562,185.3800048828125,123800,93.10058440508844,93.36341957571167,92.35589713302313,93.08598327636719,2331200
2023-09-07,184.4199981689453,193.07000732421875,184.4199981689453,191.02999877929688,283300,93.51916456422826,96.14747162915666,93.51916456422826,95.09615325927734,6435600
2023-09-08,191.3800048828125,200.6199951171875,190.8000030517578,196.5800018310547,271200,94.61917184580295,95.45147341060152,94.28333842063205,95.10589599609375,3904800
2023-09-11,185.1999969482422,187.66000366210938,175.8000030517578,184.99000549316406,720700,95.0912872503693,98.20145402457777,94.91120170576659,97.12092590332031,7818800
2023-09-12,184.82000732421875,186.69000244140625,174.6999969482422,176.8699951171875,444300,95.53420904168465,96.2107552668953,94.4439443465076,95.76296997070312,7286400
2023-09-13,188.5,193.33999633789062,178.02000427246094,190.42999267578125,1345500,93.65058764332315,94.79925683822712,93.40722558869791,93.7576675415039,6420000
2023-09-14,192.5800018310547,192.5800018310547,174.77999877929688,175.33999633789062,719700,94.62403283506627,95.26650477677937,93.76739367702179,93.87447357177734,4051600
2023-09-15,175.77999877929688,182.0,172.8000030517578,175.88999938964844,791100,94.18111331151714,94.26872008460755,92.49218009106161,92.6868667602539,4511600
2023-09-18,174.24000549316406,176.55999755859375,163.4499969482422,163.5800018310547,358500,90.24838045389194,91.82536918923506,89.58157082290889,90.82758331298828,4695200
2023-09-19,161.6199951171875,170.27000427246094,161.6199951171875,169.35000610351562,324000,90.3213984294533,91.31917693307079,90.12670432554157,91.041748046875,3244800
2023-09-20,169.19000244140625,170.55999755859375,159.38999938964844,161.4199981689453,456600,92.18554251243766,93.85987462185929,91.05634645083126,92.21475219726562,6124500
2023-09-21,159.39999389648438,162.16000366210938,157.66000366210938,159.50999450683594,315100,90.44307765674901,90.99794284490243,88.09706388240988,88.8660888671875,7519600
2023-09-22,161.22000122070312,161.72000122070312,151.4199981689453,153.33999633789062,393500,89.36255574766916,90.18024874415269,88.71033975077373,88.8758316040039,2944800
2023-09-25,153.55999755859375,154.02999877929688,149.3699951171875,150.94000244140625,268500,88.48644584331662,88.77847585705247,87.99972172693623,88.71033477783203,3088600
2023-09-26,143.75,153.0500030517578,143.75,148.9499969482422,383200,90.31652538671237,90.50148292657639,89.10945166375389,89.35281372070312,2775100
2023-09-27,149.4499969482422,153.52000427246094,149.1999969482422,151.47999572753906,292100,88.89529010831012,89.45015529011454,88.20414277145343,89.26519775390625,2946000
2023-09-28,150.77999877929688,152.47999572753906,146.30999755859375,151.69000244140625,442700,89.53777381225167,90.43334442491029,88.88555783665693,89.08998107910156,4274800
2023-09-29,161.0,164.25999450683594,144.5,146.0399932861328,1893500,90.04396759378265,90.11210867759159,88.21388746661327,88.525390625,2629400
2023-10-02,146.0,146.0399932861328,139.3300018310547,143.36000061035156,866100,87.77582348947453,90.5209471501126,86.48113558513852,89.362548828125,7554600
2023-10-03,140.0,141.44000244140625,137.0,140.7899932861328,599300,87.22095517014854,87.41564926163242,84.65105257712281,85.44927978515625,4732800
2023-10-04,141.0,141.0,133.0,135.75999450683594,588000,87.0554712232448,87.5713975714723,86.1306984209676,86.67582702636719,4291800
2023-10-05,136.17999267578125,142.77999877929688,133.66000366210938,140.49000549316406,363100,86.60769484575401,87.85370745853663,84.70946623958777,87.6006088256836,4544000
2023-10-06,137.11000061035156,143.00999450683594,135.60000610351562,140.8800048828125,316100,88.14573602574148,90.09263239360483,88.07759494993907,89.6740493774414,4265000
2023-10-09,140.0800018310547,142.64999389648438,137.25,140.02000427246094,301800,88.71033161168104,89.73245519032758,88.09706192058535,89.61563873291016,3007500
2023-10-10,144.19000244140625,151.97999572753906,140.64999389648438,149.41000366210938,876000,89.69351791174972,90.95900356163642,89.45989241972251,90.54042053222656,3524000
2023-10-11,147.22999572753906,148.44000244140625,138.00999450683594,138.9199981689453,565300,93.93774914790683,96.58552937953802,92.49704257711213,96.21561431884766,11823000
2023-10-12,138.02000427246094,138.57000732421875,130.6199951171875,135.75,792400,96.87756303303092,99.35985895057505,96.43951430726219,97.5200424194336,10153800
2023-10-13,136.32000732421875,141.10000610351562,133.85000610351562,140.3699951171875,471900,98.89260190773402,101.23861570185275,97.87048572452882,99.4280014038086,14136900
2023-10-16,139.82000732421875,142.10000610351562,138.1300048828125,141.02000427246094,478000,98.59083239640101,98.77578993077472,97.27667881324875,98.46428680419922,6383500
2023-10-17,140.6699981689453,142.82000732421875,139.27000427246094,140.52000427246094,267400,98.50322416886566,99.12623041281729,97.6173827560724,98.4740219116211,4137400
2023-10-18,140.1699981689453,140.1699981689453,133.50999450683594,136.10000610351562,472300,98.1235850826087,98.53243155897125,97.46163998557478,97.89968872070312,2863700
2023-10-19,136.0399932861328,136.0399932861328,129.5,130.32000732421875,387500,96.14747624470525,96.33243378082383,93.70412658972386,95.06695556640625,5088600
